scenario,model_desc,n_samples,threshold,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
glu_exact,KNHANES glu model,1163,0.15,0.9475494411006019,0.7526315789473684,0.910828025477707,0.8242074927953891,0.9456825923440251,959,47,14,143
glu_binned,KNHANES glu model + bucket glucose,1163,0.15,0.8589853826311264,0.48771929824561405,0.8853503184713376,0.6289592760180995,0.9116067923668182,860,146,18,139
no_glu,KNHANES no-glu model,1163,0.24999999999999994,0.9019776440240757,0.592274678111588,0.8789808917197452,0.7076923076923077,0.9190082435324359,911,95,19,138
blend_exact,production blend (exact glucose),1163,0.15,0.8942390369733448,0.5620437956204379,0.9808917197452229,0.7146171693735499,0.984601942485216,886,120,3,154
blend_binned,production blend (bucket glucose),1163,0.15,0.8564058469475494,0.48427672955974843,0.9808917197452229,0.6484210526315789,0.9786472249306708,842,164,3,154
